name,id,cmc,type,subtype,text,power,toughness
Warden of the First Tree,40,1,Creature,Human,"{1}{W/B}: Warden of the First Tree becomes a Human Warrior with base power and toughness 3/3. {2}{W/B}{W/B}: If Warden of the First Tree is a Warrior, it becomes a Human Spirit Warrior with trample and lifelink. {3}{W/B}{W/B}{W/B}: If Warden of the First Tree is a Spirit, put five +1/+1 counters on it.",1,1
Thunderherd Migration,41,2,Sorcery,None,"As an additional cost to cast this spell, reveal a Dinosaur card from your hand or pay {1}. Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",-999,-999
Carnage Wurm,42,7,Creature,Wurm,"Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.) Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",6,6
Goblin Barrage,43,4,Sorcery,None,"Kicker—Sacrifice an artifact or Goblin. (You may sacrifice an artifact or Goblin in addition to any other costs as you cast this spell.) Goblin Barrage deals 4 damage to target creature. If this spell was kicked, it also deals 4 damage to target player or planeswalker.",-999,-999
Pharika's Mender,44,5,Creature,Gorgon,"When Pharika's Mender enters the battlefield, you may return target creature or enchantment card from your graveyard to your hand.",4,3
Mind Extraction,45,3,Sorcery,None,"As an additional cost to cast this spell, sacrifice a creature. Target player reveals their hand and discards all cards of each of the sacrificed creature's colors.",-999,-999
Thopter Assembly,46,6,ArtifactCreature,Thopter,"Flying At the beginning of your upkeep, if you control no Thopters other than Thopter Assembly, return Thopter Assembly to its owner's hand and create five 1/1 colorless Thopter artifact creature tokens with flying.",5,5
Theft of Dreams,47,3,Sorcery,None,Draw a card for each tapped creature target opponent controls.,-999,-999
Brawn,49,4,Creature,Incarnation,"Trample As long as Brawn is in your graveyard and you control a Forest, creatures you control have trample.",3,3
Steadfast Cathar,50,2,Creature,HumanSoldier,"Whenever Steadfast Cathar attacks, it gets +0/+2 until end of turn.",2,1
Magma Sliver,51,4,Creature,Sliver,"All Slivers have ""{T}: Target Sliver creature gets +X/+0 until end of turn, where X is the number of Slivers on the battlefield.""",3,3
Deem Worthy,52,5,Instant,None,"Deem Worthy deals 7 damage to target creature. Cycling {3}{R} ({3}{R}, Discard this card: Draw a card.) When you cycle Deem Worthy, you may have it deal 2 damage to target creature.",-999,-999
Coalition Relic,53,3,Artifact,None,"{T}: Add one mana of any color. {T}: Put a charge counter on Coalition Relic. At the beginning of your precombat main phase, remove all charge counters from Coalition Relic. Add one mana of any color for each charge counter removed this way.",-999,-999
Vizier of Deferment,54,3,Creature,HumanCleric,"Flash When Vizier of Deferment enters the battlefield, you may exile target creature if it attacked or blocked this turn. Return that card to the battlefield under its owner's control at the beginning of the next end step.",2,2
"Tinybones, Trinket Thief",55,2,LegendaryCreature,SkeletonRogue,"At the beginning of each end step, if an opponent discarded a card this turn, you draw a card and you lose 1 life. {4}{B}{B}: Each opponent with no cards in hand loses 10 life.",1,2
"Shizo, Death's Storehouse",56,0,Legendary Land,None,"{T}: Add {B}. {B}, {T}: Target legendary creature gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)",-999,-999
Summon the School,57,4,TribalSorcery,Merfolk,Create two 1/1 blue Merfolk Wizard creature tokens. Tap four untapped Merfolk you control: Return Summon the School from your graveyard to your hand.,-999,-999
Courageous Outrider,58,4,Creature,HumanScout,"When Courageous Outrider enters the battlefield, look at the top four cards of your library. You may reveal a Human card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",3,4
Soul-Scar Mage,59,1,Creature,HumanWizard,"Prowess If a source you control would deal noncombat damage to a creature an opponent controls, put that many -1/-1 counters on that creature instead.",1,2
Airdrop Aeronauts,60,5,Creature,DwarfScout,"Flying Revolt — When Airdrop Aeronauts enters the battlefield, if a permanent you controlled left the battlefield this turn, you gain 5 life.",4,3
Phyrexian Juggernaut,62,6,ArtifactCreature,Juggernaut,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) Phyrexian Juggernaut attacks each combat if able.,5,5
"Yorvo, Lord of Garenbrig",63,3,LegendaryCreature,GiantNoble,"Yorvo, Lord of Garenbrig enters the battlefield with four +1/+1 counters on it. Whenever another green creature enters the battlefield under your control, put a +1/+1 counter on Yorvo. Then if that creature's power is greater than Yorvo's power, put another +1/+1 counter on Yorvo.",0,0
Squadron Hawk,64,2,Creature,Bird,"Flying When Squadron Hawk enters the battlefield, you may search your library for up to three cards named Squadron Hawk, reveal them, put them into your hand, then shuffle your library.",1,1
Boros Recruit,65,1,Creature,GoblinSoldier,({R/W} can be paid with either {R} or {W}.) First strike,1,1
Patchwork Gnomes,66,3,ArtifactCreature,Gnome,Discard a card: Regenerate Patchwork Gnomes.,2,1
Ogre Arsonist,67,5,Creature,Ogre,"When Ogre Arsonist enters the battlefield, destroy target land.",3,3
Hunt the Hunter,68,1,Sorcery,None,Target green creature you control gets +2/+2 until end of turn. It fights target green creature an opponent controls.,-999,-999
Timber Gorge,69,0,Land,None,Timber Gorge enters the battlefield tapped. {T}: Add {R} or {G}.,-999,-999
Crypt Creeper,70,2,Creature,Zombie,Sacrifice Crypt Creeper: Exile target card from a graveyard.,2,1
Unyielding Krumar,71,4,Creature,OrcWarrior,{1}{W}: Unyielding Krumar gains first strike until end of turn.,3,3
Solemn Simulacrum,72,4,ArtifactCreature,Golem,"When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library. When Solemn Simulacrum dies, you may draw a card.",2,2
Demonic Vigor,73,1,Enchantment,Aura,"Enchant creature Enchanted creature gets +1/+1. When enchanted creature dies, return that card to its owner's hand.",-999,-999
Guul Draz Vampire,74,1,Creature,VampireRogue,"As long as an opponent has 10 or less life, Guul Draz Vampire gets +2/+1 and has intimidate. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)",1,1
Utopia Sprawl,75,1,Enchantment,Aura,"Enchant Forest As Utopia Sprawl enters the battlefield, choose a color. Whenever enchanted Forest is tapped for mana, its controller adds an additional one mana of the chosen color.",-999,-999
Game Trail,76,0,Land,None,"As Game Trail enters the battlefield, you may reveal a Mountain or Forest card from your hand. If you don't, Game Trail enters the battlefield tapped. {T}: Add {R} or {G}.",-999,-999
Puppeteer Clique,77,5,Creature,FaerieWizard,"Flying When Puppeteer Clique enters the battlefield, put target creature card from an opponent's graveyard onto the battlefield under your control. It gains haste. At the beginning of your next end step, exile it. Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",3,2
Talisman of Progress,78,2,Artifact,None,{T}: Add {C}. {T}: Add {W} or {U}. Talisman of Progress deals 1 damage to you.,-999,-999
Harvest Pyre,79,2,Instant,None,"As an additional cost to cast this spell, exile X cards from your graveyard. Harvest Pyre deals X damage to target creature.",-999,-999
Krovikan Sorcerer,80,3,Creature,HumanWizard,"{T}, Discard a nonblack card: Draw a card. {T}, Discard a black card: Draw two cards, then discard one of them.",1,1
Bond of Discipline,81,5,Sorcery,None,Tap all creatures your opponents control. Creatures you control gain lifelink until end of turn.,-999,-999
Tanglewalker,82,3,Creature,Dryad,Each creature you control can't be blocked as long as defending player controls an artifact land.,2,2
Selesnya Sanctuary,83,0,Land,None,"Selesnya Sanctuary enters the battlefield tapped. When Selesnya Sanctuary enters the battlefield, return a land you control to its owner's hand. {T}: Add {G}{W}.",-999,-999
Dakmor Lancer,84,6,Creature,HumanKnight,"When Dakmor Lancer enters the battlefield, destroy target nonblack creature.",3,3
Bladed Sentinel,85,4,ArtifactCreature,Construct,{W}: Bladed Sentinel gains vigilance until end of turn.,2,4
Collective Voyage,86,1,Sorcery,None,"Join forces — Starting with you, each player may pay any amount of mana. Each player searches their library for up to X basic land cards, where X is the total amount of mana paid this way, puts them onto the battlefield tapped, then shuffles their library.",-999,-999
Shadowcloak Vampire,87,5,Creature,Vampire,Pay 2 life: Shadowcloak Vampire gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),4,3
Waste Not,88,2,Enchantment,None,"Whenever an opponent discards a creature card, create a 2/2 black Zombie creature token. Whenever an opponent discards a land card, add {B}{B}. Whenever an opponent discards a noncreature, nonland card, draw a card.",-999,-999
Spell Contortion,89,3,Instant,None,Multikicker {1}{U} (You may pay an additional {1}{U} any number of times as you cast this spell.) Counter target spell unless its controller pays {2}. Draw a card for each time Spell Contortion was kicked.,-999,-999
Refocus,90,2,Instant,None,Untap target creature. Draw a card.,-999,-999
Darkling Stalker,91,4,Creature,ShadeSpirit,{B}: Regenerate Darkling Stalker. {B}: Darkling Stalker gets +1/+1 until end of turn.,1,1
Duplicity,92,5,Enchantment,None,"When Duplicity enters the battlefield, exile the top five cards of your library face down. At the beginning of your upkeep, you may exile all cards from your hand face down. If you do, put all other cards you own exiled with Duplicity into your hand. At the beginning of your end step, discard a card. When you lose control of Duplicity, put all cards exiled with Duplicity into their owner's graveyard.",-999,-999
Planebound Accomplice,93,3,Creature,HumanWizard,{R}: You may put a planeswalker card from your hand onto the battlefield. Sacrifice it at the beginning of the next end step.,1,3
Ondu Rising,94,2,Sorcery,None,"Whenever a creature attacks this turn, it gains lifelink until end of turn. Awaken 4—{4}{W} (If you cast this spell for {4}{W}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)",-999,-999
Welkin Tern,95,2,Creature,Bird,Flying (This creature can't be blocked except by creatures with flying or reach.) Welkin Tern can block only creatures with flying.,2,1
Chamber of Manipulation,96,4,Enchantment,Aura,"Enchant land Enchanted land has ""{T}, Discard a card: Gain control of target creature until end of turn.""",-999,-999
Sanguine Indulgence,97,4,Sorcery,None,This spell costs {3} less to cast if you've gained 3 or more life this turn. Return up to two target creature cards from your graveyard to your hand.,-999,-999
Shrewd Hatchling,98,4,Creature,Elemental,"Shrewd Hatchling enters the battlefield with four -1/-1 counters on it. {U/R}: Target creature can't block Shrewd Hatchling this turn. Whenever you cast a blue spell, remove a -1/-1 counter from Shrewd Hatchling. Whenever you cast a red spell, remove a -1/-1 counter from Shrewd Hatchling.",6,6
Etchings of the Chosen,99,3,Enchantment,None,"As Etchings of the Chosen enters the battlefield, choose a creature type. Creatures you control of the chosen type get +1/+1. {1}, Sacrifice a creature of the chosen type: Target creature you control gains indestructible until end of turn.",-999,-999
"Higure, the Still Wind",100,5,LegendaryCreature,HumanNinja,"Ninjutsu {2}{U}{U} ({2}{U}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.) Whenever Higure, the Still Wind deals combat damage to a player, you may search your library for a Ninja card, reveal it, and put it into your hand. If you do, shuffle your library. {2}: Target Ninja creature can't be blocked this turn.",3,4
Heartwarming Redemption,101,4,Instant,None,"Discard all the cards in your hand, then draw that many cards plus one. You gain life equal to the number of cards in your hand.",-999,-999
Soul of the Rapids,102,5,Creature,Elemental,Flying Hexproof (This creature can't be the target of spells or abilities your opponents control.),3,2
Arc Mage,103,3,Creature,HumanSpellshaper,"{2}{R}, {T}, Discard a card: Arc Mage deals 2 damage divided as you choose among one or two targets.",2,2
Fracturing Gust,104,5,Instant,None,Destroy all artifacts and enchantments. You gain 2 life for each permanent destroyed this way.,-999,-999
Divergent Growth,105,1,Instant,None,"Until end of turn, lands you control gain ""{T}: Add one mana of any color.""",-999,-999
Minion Reflector,106,5,Artifact,None,"Whenever a nontoken creature enters the battlefield under your control, you may pay {2}. If you do, create a token that's a copy of that creature, except it has haste and ""At the beginning of the end step, sacrifice this permanent.""",-999,-999
Dirtwater Wraith,107,4,Creature,Wraith,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) {B}: Dirtwater Wraith gets +1/+0 until end of turn.,1,3
Cruel Ultimatum,108,7,Sorcery,None,"Target opponent sacrifices a creature, discards three cards, then loses 5 life. You return a creature card from your graveyard to your hand, draw three cards, then gain 5 life.",-999,-999
Puresight Merrow,109,2,Creature,MerfolkWizard,"{W/U}, {Q}: Look at the top card of your library. You may exile that card. ({Q} is the untap symbol.)",2,2
Dragon Fangs,110,2,Enchantment,Aura,"Enchant creature Enchanted creature gets +1/+1 and has trample. When a creature with converted mana cost 6 or greater enters the battlefield, you may return Dragon Fangs from your graveyard to the battlefield attached to that creature.",-999,-999
Heal,111,1,Instant,None,Prevent the next 1 damage that would be dealt to any target this turn. Draw a card at the beginning of the next turn's upkeep.,-999,-999
Maraleaf Pixie,112,2,Creature,Faerie,Flying {T}: Add {G} or {U}.,2,2
Bull Rush,113,1,Instant,None,Target creature gets +2/+0 until end of turn.,-999,-999
Akroan Line Breaker,114,3,Creature,HumanWarrior,"Heroic — Whenever you cast a spell that targets Akroan Line Breaker, Akroan Line Breaker gets +2/+0 and gains intimidate until end of turn. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)",2,1
Grip of Amnesia,115,2,Instant,None,Counter target spell unless its controller exiles all cards from their graveyard. Draw a card.,-999,-999
Deny the Divine,116,3,Instant,None,"Counter target creature or enchantment spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",-999,-999
Pheres-Band Brawler,117,6,Creature,CentaurWarrior,"When Pheres-Band Brawler enters the battlefield, it fights up to one target creature you don't control. (Each deals damage equal to its power to the other.)",4,4
Sunbeam Spellbomb,118,1,Artifact,None,"{W}, Sacrifice Sunbeam Spellbomb: You gain 5 life. {1}, Sacrifice Sunbeam Spellbomb: Draw a card.",-999,-999
Goblin Flotilla,119,3,Creature,Goblin,"Islandwalk (This creature can't be blocked as long as defending player controls an Island.) At the beginning of each combat, unless you pay {R}, whenever Goblin Flotilla blocks or becomes blocked by a creature this combat, that creature gains first strike until end of turn.",2,2
Inquisitive Puppet,121,1,ArtifactCreature,Construct,"When Inquisitive Puppet enters the battlefield, scry 1. Exile Inquisitive Puppet: Create a 1/1 white Human creature token.",0,2
Aven Squire,122,2,Creature,BirdSoldier,"Flying Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",1,1
Doubling Season,123,5,Enchantment,None,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead. If an effect would put one or more counters on a permanent you control, it puts twice that many of those counters on that permanent instead.",-999,-999
Stone Kavu,124,5,Creature,Kavu,{R}: Stone Kavu gets +1/+0 until end of turn. {W}: Stone Kavu gets +0/+1 until end of turn.,3,3
Brawl-Bash Ogre,125,4,Creature,OgreWarrior,"Menace (This creature can't be blocked except by two or more creatures.) Whenever Brawl-Bash Ogre attacks, you may sacrifice another creature. If you do, Brawl-Bash Ogre gets +2/+2 until end of turn.",3,3
Divine Intervention,126,8,Enchantment,None,"Divine Intervention enters the battlefield with two intervention counters on it. At the beginning of your upkeep, remove an intervention counter from Divine Intervention. When you remove the last intervention counter from Divine Intervention, the game is a draw.",-999,-999
Reckless Cohort,127,2,Creature,HumanWarriorAlly,Reckless Cohort attacks each combat if able unless you control another Ally.,2,2
Dragon Egg,128,0,TokenCreature,DragonEgg,"Defender When this creature dies, create a 2/2 red Dragon creature token with flying and ""{R}: This creature gets +1/+0 until end of turn.""",0,2
Arcbond,130,3,Instant,None,"Choose target creature. Whenever that creature is dealt damage this turn, it deals that much damage to each other creature and each player.",-999,-999
Summit Apes,131,4,Creature,Ape,"As long as you control a Mountain, Summit Apes has menace. (It can't be blocked except by two or more creatures.)",5,2
Box of Free-Range Goblins,132,6,Sorcery,None,Roll a six-sided die. Create a number of 1/1 red Goblin creature tokens equal to the result.,-999,-999
Zulaport Chainmage,133,4,Creature,HumanShamanAlly,"Cohort — {T}, Tap an untapped Ally you control: Target opponent loses 2 life.",4,2
Zodiac Goat,134,1,Creature,Goat,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),1,1
Cinder Elemental,135,4,Creature,Elemental,"{X}{R}, {T}, Sacrifice Cinder Elemental: It deals X damage to any target.",2,2
Cabal Therapy,136,1,Sorcery,None,Choose a nonland card name. Target player reveals their hand and discards all cards with that name. Flashback—Sacrifice a creature. (You may cast this card from your graveyard for its flashback cost. Then exile it.),-999,-999
Urborg Volcano,137,0,Land,None,Urborg Volcano enters the battlefield tapped. {T}: Add {B} or {R}.,-999,-999
Throttle,138,5,Instant,None,Target creature gets -4/-4 until end of turn.,-999,-999
Vampire Hounds,139,3,Creature,VampireDog,Discard a creature card: Vampire Hounds gets +2/+2 until end of turn.,2,2
Patient Turtle,140,4,Creature,Turtle,Patient Turtle enters the battlefield with two +1/+1 counters on it if you didn't go first this game.,3,3
Mindclaw Shaman,141,5,Creature,ViashinoShaman,"When Mindclaw Shaman enters the battlefield, target opponent reveals their hand. You may cast an instant or sorcery spell from among those cards without paying its mana cost.",2,2
Ashen Monstrosity,142,7,Creature,Spirit,Haste Ashen Monstrosity attacks each combat if able.,7,4
Leafcrown Dryad,143,2,EnchantmentCreature,NymphDryad,"Bestow {3}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.) Reach Enchanted creature gets +2/+2 and has reach.",2,2
Rhox Maulers,144,5,Creature,RhinoSoldier,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) Renown 2 (When this creature deals combat damage to a player, if it isn't renowned, put two +1/+1 counters on it and it becomes renowned.)",4,4
Spitfire Handler,145,2,Creature,Goblin,Spitfire Handler can't block creatures with power greater than Spitfire Handler's power. {R}: Spitfire Handler gets +1/+0 until end of turn.,1,1
Scribe of the Mindful,146,3,Creature,HumanCleric,"{1}, {T}, Sacrifice Scribe of the Mindful: Return target instant or sorcery card from your graveyard to your hand.",2,2
"Jareth, Leonine Titan",147,6,LegendaryCreature,CatGiant,"Whenever Jareth, Leonine Titan blocks, it gets +7/+7 until end of turn. {W}: Jareth gains protection from the color of your choice until end of turn.",4,7
Dwarven Thaumaturgist,148,3,Creature,DwarfShaman,{T}: Switch target creature's power and toughness until end of turn.,1,2
Salvage Scuttler,149,5,Creature,Crab,"Whenever Salvage Scuttler attacks, return an artifact you control to its owner's hand.",4,4
"Rashmi, Eternities Crafter",150,4,LegendaryCreature,ElfDruid,"Whenever you cast your first spell each turn, reveal the top card of your library. You may cast it without paying its mana cost if it's a spell with lesser converted mana cost. If you don't cast it, put it into your hand.",2,3
Bedlam Reveler,151,8,Creature,DevilHorror,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard. Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) When Bedlam Reveler enters the battlefield, discard your hand, then draw three cards.",3,4
Zendikar Farguide,152,5,Creature,Elemental,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.),3,3
Impetuous Devils,153,4,Creature,Devil,"Trample, haste When Impetuous Devils attacks, up to one target creature defending player controls blocks it this combat if able. At the beginning of the end step, sacrifice Impetuous Devils.",6,1
Etherium-Horn Sorcerer,154,6,ArtifactCreature,MinotaurWizard,"{1}{U}{R}: Return Etherium-Horn Sorcerer to its owner's hand. Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)",3,6
Lich's Caress,155,5,Sorcery,None,Destroy target creature. You gain 3 life.,-999,-999
Misfortune's Gain,156,4,Sorcery,None,Destroy target creature. Its owner gains 4 life.,-999,-999
Summoning Station,157,7,Artifact,None,"{T}: Create a 2/2 colorless Pincher creature token. Whenever an artifact is put into a graveyard from the battlefield, you may untap Summoning Station.",-999,-999
What's Yours Is Now Mine,158,0,Scheme,None,"When you set this scheme in motion, gain control of target creature an opponent controls and untap it.",-999,-999
Pir's Whim,159,4,Sorcery,None,"For each player, choose friend or foe. Each friend searches their library for a land card, puts it onto the battlefield tapped, then shuffles their library. Each foe sacrifices an artifact or enchantment they control.",-999,-999
Embermaw Hellion,160,5,Creature,Hellion,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) If another red source you control would deal damage to a permanent or player, it deals that much damage plus 1 to that permanent or player instead.",4,5
Rhonas's Last Stand,161,2,Sorcery,None,Create a 5/4 green Snake creature token. Lands you control don't untap during your next untap step.,-999,-999
Sword of Light and Shadow,162,3,Artifact,Equipment,"Equipped creature gets +2/+2 and has protection from white and from black. Whenever equipped creature deals combat damage to a player, you gain 3 life and you may return up to one target creature card from your graveyard to your hand. Equip {2}",-999,-999
Eight-and-a-Half-Tails,163,2,LegendaryCreature,FoxCleric,{1}{W}: Target permanent you control gains protection from white until end of turn. {1}: Target spell or permanent becomes white until end of turn.,2,2
Dictate of Karametra,164,5,Enchantment,None,"Flash Whenever a player taps a land for mana, that player adds one mana of any type that land produced.",-999,-999
Akki Rockspeaker,165,2,Creature,GoblinShaman,"When Akki Rockspeaker enters the battlefield, add {R}.",1,1
Cogwork Assembler,166,3,ArtifactCreature,Assembly-Worker,{7}: Create a token that's a copy of target artifact. That token gains haste. Exile it at the beginning of the next end step.,2,3
Void Grafter,167,3,Creature,EldraziDrone,"Devoid (This card has no color.) Flash (You may cast this spell any time you could cast an instant.) When Void Grafter enters the battlefield, another target creature you control gains hexproof until end of turn.",2,4
Cryptwailing,168,4,Enchantment,None,"{1}, Exile two creature cards from your graveyard: Target player discards a card. Activate this ability only any time you could cast a sorcery.",-999,-999
Valeron Outlander,169,2,Creature,HumanScout,Protection from black,2,2
Ionize,170,3,Instant,None,Counter target spell. Ionize deals 2 damage to that spell's controller.,-999,-999
Hallowed Priest,171,2,Creature,HumanCleric,"Whenever you gain life, put a +1/+1 counter on Hallowed Priest.",1,1
Master of the Feast,172,3,EnchantmentCreature,Demon,"Flying At the beginning of your upkeep, each opponent draws a card.",5,5
Dreadhorde Invasion,173,2,Enchantment,None,"At the beginning of your upkeep, you lose 1 life and amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.) Whenever a Zombie token you control with power 6 or greater attacks, it gains lifelink until end of turn.",-999,-999
Labyrinth Guardian,174,0,TokenCreature,ZombieIllusionWarrior,"When Labyrinth Guardian becomes the target of a spell, sacrifice it.",2,3
Soldier,175,0,TokenCreature,Soldier,Vigilance,2,2
Sulam Djinn,176,6,Creature,Djinn,Trample Sulam Djinn gets -2/-2 as long as green is the most common color among all permanents or is tied for most common.,6,6
Embraal Gear-Smasher,177,3,Creature,HumanWarrior,"{T}, Sacrifice an artifact: Embraal Gear-Smasher deals 2 damage to each opponent.",2,3
